,Filenames,ox,oy,oz,ux,uy,uz,vx,vy,vz,section_ID,depth
0,GLTa/641_2002_2568_NM01_s004.png,482.9458902909455,446.71043651892074,327.64034789574816,-483.4014812330787,-4.980258161722588,-13.746788089175084,1.7296890331184613,-7.410889062410774,-356.88370482684184,4.0,440.7457064082297
1,GLTa/641_2002_2568_NM01_s014.png,481.8911200766629,423.5181848089473,341.10614884625585,-512.9747806999947,-5.151820997576635,-8.191809503789841,1.863557436703104,-7.618831064679739,-366.93731355017235,14.0,417.28343860245116
2,GLTa/641_2002_2568_NM01_s024.png,469.25759431513484,407.99472643080423,315.82294862560093,-485.68491849209903,-4.751494533371101,-1.6898096244270278,-7.146120427085066,-7.632018048737507,-363.36721983137863,24.0,402.4088698817325
3,GLTa/641_2002_2568_NM01_s034.png,465.68824260386884,390.53329964953497,322.24655084352605,-462.0981062908501,-4.486549424745419,0.0351723921927487,-10.330099186611733,-7.851729075001742,-372.4382762438643,34.0,384.84841188896326
4,GLTa/641_2002_2568_NM01_s039.png,487.00407958151743,377.9657333517185,324.98978835211744,-492.2957162969778,-4.592107309415326,9.052829789111286,-14.432261928303205,-8.344208989487527,-394.1868661900483,39.0,372.01676060350934
5,GLTa/641_2002_2568_NM01_s044.png,474.7925827136869,365.4533130926801,321.19566810071143,-478.01047019327876,-4.36261862706948,13.414096570416575,-20.08085410517151,-7.833650257947681,-367.02016186831816,44.0,359.70188772963706
6,GLTa/641_2002_2568_NM01_s049.png,482.8455589329666,353.6186464640933,322.2781000452106,-477.8197307426402,-4.34119126279279,14.354639146933266,-19.70121639105264,-8.090646409112253,-379.5453829711381,49.0,347.7664930733171
7,GLTa/641_2002_2568_NM01_s054.png,467.44412371132285,339.7670107657399,311.9512782219856,-479.1582127968046,-4.6541800343055115,-0.059269016391908735,-7.571671644765502,-7.6098249343761495,-362.1023382789075,54.0,334.27934383927646
8,GLTa/641_2002_2568_NM01_s059.png,483.50268061293946,337.48075211620886,306.83186578553,-504.2661819239356,-4.877901018223724,0.9062113333199022,-8.2566764438767,-7.8748112279383236,-374.5147313101469,59.0,331.9436942633118
9,GLTa/641_2002_2568_NM01_s064.png,491.6104220221288,324.9062164218968,332.56297454780537,-487.3243916374215,-4.495852868863608,11.358140310883016,-17.139563652541028,-7.819491511630645,-367.71220105831327,64.0,318.7548951514572
10,GLTa/641_2002_2568_NM01_s069.png,477.13165033494215,307.07149081868397,344.25256562128186,-481.6162081558988,-4.548827456440279,6.14952861430578,-10.830735645751702,-8.00817878324284,-379.72175050462374,69.0,300.81747706267
11,GLTa/641_2002_2568_NM01_s074.png,481.33875457427735,290.98367956052545,321.9690083303335,-477.3363831597372,-4.540019451211776,4.575870257015197,-7.755247785210827,-7.76122026180866,-369.29089354066116,74.0,285.15259125603495
12,GLTa/641_2002_2568_NM01_s079.png,487.5814222168599,280.2677247359375,326.2803024403851,-500.4967793850976,-4.7612983089391605,4.749998672642903,-7.288567552257746,-8.06623653070551,-384.16398603305396,79.0,274.286286623505
13,GLTa/641_2002_2568_NM01_s084.png,491.03038120234305,273.09997016512256,322.984589296331,-502.85127713732146,-4.5880852135924215,14.171053167561752,-15.571891011563707,-7.959616122674333,-375.17631409613693,84.0,267.1536327863576
14,GLTa/641_2002_2568_NM01_s089.png,489.17780382588853,259.6092397863623,329.63104738306174,-485.32424091323327,-4.5752036794110325,6.612288835250638,-10.167672958662251,-7.931205556858032,-376.3327279231367,89.0,253.54256195503862
15,GLTa/641_2002_2568_NM01_s094.png,489.52022073156195,246.65374071247453,325.87735042495285,-489.2962691944348,-4.624979198549568,6.073939075486692,-9.646275297568764,-7.52611623638694,-357.1123620963409,94.0,240.66186205848246
16,GLTa/641_2002_2568_NM01_s099.png,482.42929882337546,232.7192351436437,350.8228134464568,-493.5189244333362,-5.324771014615862,-25.57930598846241,20.32305503077123,-7.740917278256774,-381.4160408615362,99.0,226.27703359842084
17,GLTa/641_2002_2567_NM01_s104.png,472.0368302717608,225.6402402589144,331.83543502044216,-485.912995133169,-4.393959230189722,15.595378514807464,-9.728947935476981,-7.641058900421655,-362.5965274135458,104.0,219.69413365121449
18,GLTa/641_2002_2568_NM01_s109.png,485.7129695694231,219.78867160976029,335.87112869339103,-509.03657529159045,-4.650029342004046,14.080687357869863,-12.13825606262742,-7.914927878830582,-374.6311951846458,109.0,213.62576718380237
19,GLTa/641_2002_2568_NM01_s114.png,496.69723401196126,210.0427298186051,331.95021100322265,-503.2664298197927,-4.5565267881089255,15.881065303769105,-17.56118806913298,-8.072453478313804,-379.6697389767956,114.0,203.85476541975473
20,GLTa/641_2002_2568_NM01_s119.png,482.34660149563274,197.24476567297756,336.82028316409514,-511.83604516302984,-4.625367830999039,16.57178317037159,-21.080627548488394,-7.965965044584948,-372.91112172625236,119.0,191.0947965380929
21,GLTa/641_2002_2568_NM01_s124.png,479.33636517623137,189.56564482123426,327.4546332865601,-483.5645986539442,-4.111832848405356,28.05521599163137,-23.10495381344282,-7.554048404292388,-352.1749449075538,124.0,183.63983081971102
22,GLTa/641_2002_2568_NM01_s129.png,493.15298324446917,172.37381017984166,338.146231931088,-503.71788482016666,-4.889948857508131,0.07151732103278619,-7.1643079388874185,-7.84093094427277,-373.39653217784706,129.0,166.09130738582465
23,GLTa/641_2002_2568_NM01_s134.png,484.31119535624896,166.6511146967886,324.70206913996134,-502.9122030789464,-4.645417445363705,11.44479401134896,-17.63065937482702,-7.72575330272079,-362.97915595937343,134.0,160.73427984528053
24,GLTa/641_2002_2568_NM01_s139.png,484.71232803798625,150.28589653610604,339.51250110503,-512.8574356176016,-5.117394899720551,-6.592462754500161,-1.560094856602177,-7.393958294375693,-354.5352852335059,139.0,144.05692250213866
25,GLTa/641_2002_2568_NM01_s144.png,498.4400101446121,139.22412386023663,347.20223944471553,-512.690643758855,-4.968608359571618,0.47857724444605765,-6.068093172844442,-7.771818887608248,-370.58731958585327,144.0,132.70180124398357
26,GLTa/641_2002_2568_NM01_s154.png,481.2740139155627,121.5102441656752,350.1086941821627,-519.4045464159021,-4.899077859855268,6.951907919775749,-10.999961717122574,-8.586326230883131,-407.42148775247614,154.0,115.09412390305178
27,GLTa/641_2002_2568_NM01_s159.png,481.5503286244002,115.13288409556534,347.12761161814507,-503.07503054404623,-4.664409659528687,10.60823190037064,-16.127452669659533,-8.413780371332876,-396.738680556612,159.0,108.7761247757698
28,GLTa/641_2002_2568_NM01_s164.png,471.4058439858359,105.77112547856511,342.23591833059606,-495.6801009413459,-5.001792259138952,-9.05254493808286,1.711730124259475,-7.873344119767893,-379.09525863944174,164.0,99.61468484596581
29,GLTa/641_2002_2568_NM01_s169.png,471.63525725351394,91.13619110987904,335.0148364024962,-482.07774977881104,-4.634452400861207,2.2507854184626126,-12.23804025125628,-7.9379605452568,-375.6913064816203,169.0,85.12781236674057
30,GLTa/641_2002_2568_NM01_s174.png,462.3765840030155,79.29960881127491,340.6027921941183,-471.283292754156,-4.598461255750365,-1.056354278765241,-8.632799908201946,-7.909328755740006,-375.99773129896636,174.0,73.2648379640806
31,GLTa/641_2002_2568_NM01_s179.png,478.9161785651406,76.63233873741784,330.22380582947545,-490.34614612406494,-4.381196702167941,18.276991054754774,-27.088298944162716,-7.999284516332594,-371.70901306280115,179.0,70.65297128847833
32,GLTa/641_2002_2568_NM01_s184.png,474.7862837475823,65.64636887197227,330.0020479811093,-489.07303476140737,-4.493925199090533,12.26663533804134,-23.047999621473195,-7.786431025872737,-363.36698450152346,184.0,59.71172082409895
33,GLTa/641_2002_2568_NM01_s189.png,477.90602281650706,49.15933258077935,330.26545022657155,-484.633175766855,-4.694583277613781,0.553931307817777,-10.274320005813593,-8.016947051847133,-380.4026563811937,189.0,43.18890769021695
34,GLTa/641_2002_2568_NM01_s199.png,467.0596584589608,31.118449021578403,332.5085448206356,-486.11550807428233,-5.036732616293833,-15.19395993667166,5.394894252352515,-7.739724225831189,-374.39359680360803,199.0,25.206664899103625
